Title;Source;DOI;Year Published;WOS Number
Food web structure of the coastal area adjacent to the Tagus estuary revealed by stable isotope analysis;JOURNAL OF SEA RESEARCH;10.1016/j.seares.2011.09.003;2012;WOS:000300652300003
Modelling mussel growth in ecosystems with low suspended matter loads using a Dynamic Energy Budget approach;JOURNAL OF SEA RESEARCH;10.1016/j.seares.2011.09.002;2012;WOS:000300652300006
Denitrification: an ecosystem service provided by salt marshes;MARINE ECOLOGY PROGRESS SERIES;10.3354/meps09526;2012;WOS:000300661800007
Spatial characteristics and species niche attributes modulate the response by aquatic passive dispersers to habitat degradation;MARINE AND FRESHWATER RESEARCH;10.1071/MF11160;2012;WOS:000300223100005
The Discovery of New Deep-Sea Hydrothermal Vent Communities in the Southern Ocean and Implications for Biogeography;PLOS BIOLOGY;10.1371/journal.pbio.1001234;2012;WOS:000300420400006
DISTRIBUTION OF LIVING BENTHIC FORAMINIFERA ON THE NORTHERN GULF OF CADIZ CONTINENTAL SHELF;JOURNAL OF FORAMINIFERAL RESEARCH;;2012;WOS:000299764800003
Phytochemical Analysis and Antioxidant Capacity of BM-21, a Bioactive Extract Rich in Polyphenolic Metabolites from the Sea Grass Thalassia testudinum;NATURAL PRODUCT COMMUNICATIONS;;2012;WOS:000299752900017
Comparative feeding ecology of two elasmobranch species, Squalus blainville and Scyliorhinus canicula, off the coast of Portugal;FISHERY BULLETIN;;2012;WOS:000299406200006
Distribution, abundance, reproduction and ageing of the common bobtail squid Sepietta oweniana (Sepiolidae, Cephalopoda) from the Portuguese Coast;MARINE BIOLOGY RESEARCH;10.1080/17451000.2011.594892;2012;WOS:000299033900006
Life history strategy of a southern European population of brown shrimp (Crangon crangon L.): evidence for latitudinal changes in growth phenology and population dynamics;MARINE BIOLOGY;10.1007/s00227-011-1787-3;2012;WOS:000299198900004
Iberia Coastal Ocean in the CO2 Sink/Source Context: Portugal Case Study;JOURNAL OF COASTAL RESEARCH;10.2112/JCOASTRES-D-10-00060.1;2012;WOS:000299147800018
Coastal vulnerability assessment based on video wave run-up observations at a mesotidal, steep-sloped beach;OCEAN DYNAMICS;10.1007/s10236-011-0480-x;2012;WOS:000299030900009
Multiple Model Adaptive Wave Filtering for Dynamic Positioning of Marine Vessels;Proceedings of the American Control Conference;;2012;WOS:000310776206086
Integrating Autonomous Underwater Vessels, Surface Vessels and Aircraft as Persistent Surveillance Components of Ocean Observing Studies;IEEE OES Autonomous Underwater Vehicles;;2012;WOS:000316895100017
Operations with Multiple Unmanned Systems;IEEE International Conference on Intelligent Robots and Systems;;2012;WOS:000317042703096
Online Speed Optimization for Sailing Yachts Using Extremum Seeking;2012 OCEANS;;2012;WOS:000315350300096
Scattering of gravity waves by a moored finite floating elastic plate;APPLIED OCEAN RESEARCH;10.1016/j.apor.2011.09.002;2012;WOS:000300528700013
Effects of dietary amino acids and repeated handling on stress response and brain monoaminergic neurotransmitters in Senegalese sole (Solea senegalensis) juveniles;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY;10.1016/j.cbpa.2011.08.014;2012;WOS:000298121000002
Tissue-specific distribution patterns of retinoids and didehydroretinoids in rainbow trout Oncorhynchus mykiss;COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;10.1016/j.cbpb.2011.09.006;2012;WOS:000297833700008
